설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2004,C15***,11,기타 신발 제조업,소기업,기타,경상남도 김해시,140억미만,80억미만,70억미만,1.81,26.9,1.23,140억미만,80억미만,70억미만,1.84,25.9,1.11,140억미만,80억미만,70억미만,1.87,26.3,1.24,130억미만,70억미만,70억미만,1.48,,1.49,110억미만,50억미만,60억미만,2.12,,1.25,부
2006,C23***,11,시멘트 제조업,소기업,기타,전북특별자치도 익산시,70억미만,40억미만,40억미만,1.22,47.8,1.89,70억미만,40억미만,40억미만,1.06,48.6,2.14,70억미만,40억미만,30억미만,1.17,43.1,1.91,50억미만,20억미만,30억미만,2.43,,1.31,50억미만,20억미만,30억미만,2.09,,1.35,부
2005,C24***,11,그 외 기타 1차 철강 제조업,소기업,기타,경기 시흥시,230억미만,170억미만,60억미만,4.42,4.23,0.74,260억미만,190억미만,70억미만,5.02,9.17,0.75,220억미만,130억미만,90억미만,17,10,0.65,210억미만,130억미만,80억미만,14.9,,0.71,170억미만,90억미만,80억미만,1934,,0.69,부
2005,E38***,11,금속류 원료 재생업,소기업,기타,충청북도 충주시,40억미만,20억미만,20억미만,1.55,38.2,1.57,30억미만,20억미만,20억미만,1.67,30.8,1.56,30억미만,20억미만,20억미만,2.83,23.2,0.94,40억미만,20억미만,20억미만,2.97,,0.82,40억미만,20억미만,20억미만,1.26,38.5,1.57,부
2004,M72***,11,건물 및 토목 엔지니어링 서비스업,중기업,기타,경상남도 창원시,20억미만,10억미만,10억미만,2.54,46.7,1.56,10억미만,10억미만,10억미만,2.57,48.1,1.47,10억미만,10억미만,10억미만,1.76,55.3,2.14,10억미만,10억미만,10억미만,2.35,,1.65,10억미만,10억미만,10억미만,2.88,70.4,1.57,부
2006,C24***,11,냉간 압연 및 압출 제품 제조업,소기업,기타,경상북도 성주군,50억미만,40억미만,20억미만,2.32,25.1,1.04,50억미만,40억미만,10억미만,1.82,22.6,1.16,50억미만,40억미만,10억미만,1.93,16.3,1.1,50억미만,40억미만,10억미만,2.64,,0.76,50억미만,40억미만,10억미만,1.63,,1.17,부
2004,C22***,11,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,중기업,외감법인,경기도 군포시,960억미만,690억미만,280억미만,2.22,7.98,0.77,890억미만,650억미만,250억미만,2.83,12.6,0.59,540억미만,350억미만,200억미만,2.32,18.2,0.91,440억미만,260억미만,180억미만,2.71,,0.83,360억미만,240억미만,130억미만,1.84,,1.1,부
2006,G46***,11,그 외 기타 상품 전문 도매업,소기업,기타,경기도 김포시,100억미만,60억미만,40억미만,1.75,14.4,1.04,100억미만,60억미만,40억미만,1.81,13.4,0.99,100억미만,60억미만,40억미만,2.05,10.7,0.94,80억미만,50억미만,40억미만,3.23,,0.76,50억미만,20억미만,30억미만,8.24,,0.63,부
2005,G46***,11,남녀용 겉옷 및 셔츠 도매업,중기업,기타,서울 강서구,110억미만,80억미만,40억미만,4.44,8.06,0.31,100억미만,80억미만,30억미만,3.46,8.35,0.35,100억미만,70억미만,30억미만,5.84,8.04,0.32,100억미만,70억미만,30억미만,6.35,,0.28,90억미만,70억미만,30억미만,7.89,,0.28,부
2005,F42***,11,"미장, 타일 및 방수 공사업",소기업,기타,인천광역시 미추홀구,70억미만,40억미만,30억미만,1.81,44.7,1.07,70억미만,40억미만,30억미만,1.43,58.5,1.29,70억미만,40억미만,30억미만,2.2,58.9,0.86,70억미만,50억미만,20억미만,0.98,,1.63,40억미만,20억미만,20억미만,3.93,60.9,0.73,부
