설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2012,G46***,11,곡물 및 유지작물 도매업,소기업,기타,경기도 하남시,40억미만,20억미만,20억미만,4.28,6.72,0.44,30억미만,20억미만,10억미만,3.08,7.52,0.57,30억미만,20억미만,10억미만,3.45,7.49,0.62,30억미만,20억미만,10억미만,1.27,,1.22,30억미만,20억미만,10억미만,2.34,,1.13,여
2011,G46***,11,배관 및 냉ㆍ난방장치 도매업,중기업,기타,서울특별시 은평구,50억미만,10억미만,40억미만,,17.4,0.62,40억미만,10억미만,40억미만,,16.1,0.41,40억미만,10억미만,30억미만,47.7,12.9,0.72,40억미만,10억미만,30억미만,15.8,,0.53,30억미만,10억미만,20억미만,10.5,,0.56,부
2013,C29***,11,그 외 기타 일반목적용 기계 제조업,소기업,기타,충청남도 천안시,80억미만,50억미만,40억미만,1.86,34.1,1.21,70억미만,40억미만,40억미만,2.26,29,1.12,70억미만,40억미만,30억미만,1.72,29.8,1.44,70억미만,40억미만,30억미만,2,,1.19,70억미만,40억미만,30억미만,2.26,23.4,1.12,여
2013,G46***,11,의료용품 도매업,중기업,기타,경기도 성남시,60억미만,40억미만,30억미만,12.8,15.8,0.49,60억미만,40억미만,30억미만,11.6,16.8,0.5,50억미만,40억미만,20억미만,13.9,19.9,0.57,50억미만,40억미만,20억미만,7.01,,0.65,30억미만,20억미만,20억미만,9.86,,0.57,여
2012,G46***,11,"빵류, 과자류, 당류, 초콜릿 도매업",소기업,기타,경기도 과천시,160억미만,90억미만,70억미만,8.62,5.17,0.27,180억미만,110억미만,70억미만,7.4,4.79,0.31,160억미만,100억미만,60억미만,6,3.23,0.32,130억미만,70억미만,70억미만,9.27,,0.34,60억미만,20억미만,50억미만,30,,0.24,여
2011,G46***,11,플라스틱물질 및 합성고무 도매업,소기업,기타,경상남도 김해시,120억미만,60억미만,60억미만,2.46,10,0.92,110억미만,60억미만,60억미만,2.76,10.8,0.89,120억미만,60억미만,60억미만,2.57,11.4,0.89,110억미만,70억미만,50억미만,2.37,,0.92,60억미만,20억미만,50억미만,11.2,14,0.54,부
2012,H49***,11,택배업,소기업,기타,경기 고양시,70억미만,50억미만,30억미만,1.79,23.1,1.16,70억미만,40억미만,30억미만,1.6,24.2,1.19,70억미만,50억미만,30억미만,1.68,25.5,1.11,70억미만,50억미만,30억미만,1.78,,1.01,70억미만,50억미만,30억미만,1.87,,0.95,부
2009,H52***,11,"화물운송 중개, 대리 및 관련 서비스업",소기업,기타,서울특별시 종로구,100억미만,60억미만,40억미만,23,7.39,0.14,80억미만,60억미만,20억미만,4.99,-5.8,0.3,120억미만,60억미만,70억미만,41.3,6.99,0.12,70억미만,20억미만,50억미만,,,0.11,30억미만,20억미만,20억미만,12.9,,0.21,부
2012,G46***,11,통신ㆍ방송장비 및 부품 도매업,소기업,기타,서울특별시 동작구,30억미만,20억미만,10억미만,5.62,6.99,0.75,20억미만,10억미만,10억미만,1.72,9.06,1.14,10억미만,10억미만,10억미만,0.49,40.6,4.15,10억미만,10억미만,10억미만,8.27,,0.5,10억미만,10억미만,10억미만,18.3,4.54,0.47,여
2012,F42***,11,일반전기 공사업,중기업,기타,경기 안양시,50억미만,10억미만,40억미만,24,26.2,0.73,40억미만,10억미만,30억미만,12.5,44.8,0.59,40억미만,10억미만,30억미만,17.4,53.7,0.42,30억미만,10억미만,20억미만,11.6,,0.45,30억미만,10억미만,20억미만,6.49,,0.56,부
2013,G46***,11,기체연료 및 관련제품 도매업,소기업,기타,경기도 파주시,40억미만,20억미만,20억미만,6.39,10.5,0.44,40억미만,20억미만,20억미만,6.25,10,0.42,40억미만,20억미만,20억미만,6.93,10.5,0.43,30억미만,20억미만,20억미만,5.28,,0.54,30억미만,20억미만,20억미만,3.94,,0.61,여
2008,C32***,11,금속 가구 제조업,소기업,기타,경기 화성시,70억미만,30억미만,40억미만,1.78,37.7,1.57,70억미만,30억미만,40억미만,1.77,38.1,1.51,70억미만,30억미만,40억미만,2.28,35.2,1.42,50억미만,30억미만,20억미만,2.29,,1.17,40억미만,30억미만,20억미만,2.35,,1.01,부
2012,C10***,11,육류 포장육 및 냉동육 가공업 (가금류 제외),중기업,기타,경기 시흥시,50억미만,30억미만,30억미만,4.97,13.6,0.66,50억미만,30억미만,30억미만,4.79,16.9,0.66,50억미만,30억미만,20억미만,4.04,12,0.59,40억미만,30억미만,20억미만,4.22,,0.45,50억미만,30억미만,20억미만,5.01,16,0.49,부
2009,A03***,11,내수면 양식 어업,소기업,기타,충청남도 태안군,70억미만,50억미만,30억미만,1.57,20.7,1.45,90억미만,70억미만,30억미만,1.04,20.4,2.6,80억미만,60억미만,30억미만,2.83,13.1,0.99,70억미만,50억미만,30억미만,2.44,,0.94,60억미만,40억미만,20억미만,1.68,21.8,1.09,부
2011,G46***,11,플라스틱물질 및 합성고무 도매업,소기업,기타,부산광역시 동구,20억미만,10억미만,10억미만,0.81,17.1,2.33,20억미만,10억미만,10억미만,4.79,11.7,0.62,20억미만,10억미만,10억미만,3.29,7.71,0.71,20억미만,10억미만,10억미만,3.3,,0.78,20억미만,10억미만,10억미만,2.52,,0.89,부
2012,G46***,11,기타 가공식품 도매업,중기업,기타,경기도 하남시,60억미만,50억미만,20억미만,2.81,9.13,0.5,60억미만,50억미만,20억미만,2.7,10.8,0.52,50억미만,30억미만,20억미만,3.39,13.9,0.47,40억미만,30억미만,20억미만,3.58,,0.43,40억미만,30억미만,20억미만,3.99,,0.4,여
2011,F42***,11,건물용 금속공작물 설치 공사업,소기업,기타,대구 달성군,90억미만,30억미만,60억미만,13,20.8,0.39,90억미만,30억미만,60억미만,16.1,20.4,0.32,80억미만,30억미만,50억미만,13.3,18.6,0.34,80억미만,30억미만,50억미만,11.8,,0.36,70억미만,30억미만,50억미만,9.59,,0.38,부
2012,C20***,11,합성수지 및 기타 플라스틱 물질 제조업,소기업,기타,경남 김해시,90억미만,50억미만,50억미만,3.6,10.5,0.81,80억미만,40억미만,50억미만,3.62,10.4,0.76,80억미만,40억미만,40억미만,4.36,9.98,0.63,80억미만,50억미만,40억미만,3.19,,0.86,70억미만,40억미만,40억미만,3.52,,0.81,부
2013,F42***,11,"미장, 타일 및 방수 공사업",소기업,기타,부산 연제구,50억미만,10억미만,40억미만,4.12,42.6,1.44,50억미만,20억미만,40억미만,4.92,41.1,0.94,50억미만,20억미만,40억미만,3.68,42.5,1.13,50억미만,20억미만,30억미만,2.64,,1.29,50억미만,20억미만,30억미만,2.69,,1.43,부
2012,G46***,11,그 외 기타 생활용품 도매업,소기업,기타,세종특별자치시,20억미만,20억미만,10억미만,2.08,12.9,0.67,20억미만,20억미만,10억미만,0.71,15.7,1.58,20억미만,10억미만,10억미만,1.73,12.7,0.7,20억미만,10억미만,10억미만,2.37,9,0.68,20억미만,20억미만,10억미만,7.12,14.8,0.31,부
2012,F42***,11,유리 및 창호 공사업,소기업,기타,경상남도 창원시,40억미만,10억미만,40억미만,12.4,34.6,1.06,40억미만,10억미만,30억미만,8.52,29.2,1.3,40억미만,10억미만,30억미만,13,24.7,0.79,40억미만,10억미만,30억미만,10.2,22.6,0.95,40억미만,10억미만,30억미만,31.2,27.3,1.13,부
2009,G46***,11,재생용 재료 수집 및 판매업,소기업,기타,인천 서구,10억미만,10억미만,10억미만,18.9,16.7,0.25,10억미만,10억미만,10억미만,19.3,15,0.21,10억미만,10억미만,10억미만,16.8,12.6,0.19,10억미만,10억미만,10억미만,9.79,,0.26,10억미만,10억미만,10억미만,4.29,,0.53,부
2009,C32***,11,기타 목재가구 제조업,소기업,기타,경기 광주시,40억미만,40억미만,10억미만,1.83,48.1,0.7,30억미만,40억미만,00억미만,1.49,31.4,0.61,30억미만,40억미만,00억미만,0.6,22.8,1.27,40억미만,30억미만,10억미만,1.82,,0.7,40억미만,20억미만,20억미만,11.5,,0.23,여
2009,F42***,11,기타 옥외 시설물 축조 관련 전문공사업,소기업,기타,경남 김해시,20억미만,10억미만,20억미만,6.26,36.6,0.9,20억미만,10억미만,20억미만,6.8,38.6,0.91,20억미만,10억미만,20억미만,7.3,29.5,0.82,20억미만,10억미만,20억미만,6.03,,0.87,20억미만,10억미만,20억미만,4.15,,1.23,부
2009,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,소기업,기타,경기 화성시,60억미만,20억미만,40억미만,23.5,9.47,0.45,50억미만,20억미만,40억미만,50.3,12.8,0.42,50억미만,20억미만,30억미만,90.2,7.24,0.44,40억미만,20억미만,30억미만,47.9,,0.41,40억미만,20억미만,30억미만,98,,0.38,여
2009,G46***,11,"신선, 냉동 및 기타 수산물 도매업",소기업,기타,대구광역시 북구,40억미만,20억미만,30억미만,10.2,10.8,0.29,40억미만,20억미만,30억미만,10.5,10.2,0.27,50억미만,30억미만,20억미만,8.25,9.97,0.34,40억미만,30억미만,20억미만,10.1,,0.3,40억미만,20억미만,20억미만,8.75,,0.59,부
2009,C13***,11,편조원단 제조업,소기업,기타,경기도 의정부시,20억미만,20억미만,10억미만,1.77,26.4,1.77,30억미만,20억미만,10억미만,1.7,24.8,1.72,20억미만,10억미만,10억미만,1.39,25.2,1.71,20억미만,10억미만,10억미만,1.5,,1.62,20억미만,20억미만,10억미만,1.18,,1.9,부
2006,F42***,11,"도배, 실내장식 및 내장 목공사업",소기업,기타,서울특별시 마포구,20억미만,10억미만,10억미만,324,14.7,0.47,20억미만,10억미만,10억미만,104,21.9,0.43,20억미만,10억미만,10억미만,48.3,40.9,0.52,10억미만,10억미만,10억미만,9.15,,0.63,10억미만,10억미만,10억미만,5.53,,0.68,부
2001,H49***,11,전세버스 운송업,소기업,기타,전북 완주군,50억미만,40억미만,20억미만,1.15,34.2,1.23,50억미만,40억미만,20억미만,0.92,31.1,1.4,60억미만,50억미만,10억미만,0.53,35.5,2.27,60억미만,50억미만,10억미만,0.12,,9.29,60억미만,50억미만,10억미만,0.06,,18.2,부
2008,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,소기업,기타,서울 구로구,30억미만,10억미만,20억미만,3.75,16.6,1.17,30억미만,10억미만,20억미만,4.16,18,1.05,30억미만,10억미만,20억미만,6.36,13,0.73,30억미만,20억미만,20억미만,6.17,,0.67,30억미만,10억미만,20억미만,4.4,,0.89,부
2009,G46***,11,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",소기업,기타,인천광역시 남동구,10억미만,10억미만,10억미만,8.74,27,0.73,10억미만,10억미만,10억미만,9.96,12.8,0.36,20억미만,10억미만,10억미만,3.5,12.5,0.57,20억미만,10억미만,10억미만,3.97,,0.5,20억미만,10억미만,10억미만,4.05,5.88,0.41,부
2006,C13***,11,"직물, 편조원단 및 의복류 염색 가공업",소기업,기타,서울특별시 종로구,90억미만,50억미만,40억미만,1.81,10.2,1.33,90억미만,50억미만,40억미만,2.37,9.49,0.99,90억미만,60억미만,40억미만,2.67,8.35,0.87,90억미만,60억미만,40억미만,2.15,,1.09,80억미만,50억미만,40억미만,2.15,,0.98,부
2005,C10***,11,기타 수산동물 가공 및 저장 처리업,소기업,기타,인천광역시 서구,80억미만,60억미만,30억미만,2.05,14.1,0.83,80억미만,60억미만,20억미만,1.51,20.1,0.92,70억미만,60억미만,20억미만,1.76,13.4,0.77,80억미만,70억미만,20억미만,1.62,,0.91,60억미만,50억미만,20억미만,3.18,,0.52,부
2004,N75***,11,"전시, 컨벤션 및 행사 대행업",소기업,기타,경기도 용인시,20억미만,10억미만,10억미만,1.88,18.5,1.13,20억미만,10억미만,10억미만,1.66,19.9,1.14,20억미만,10억미만,10억미만,1.18,21.3,1.49,20억미만,10억미만,10억미만,0.85,,2.01,20억미만,10억미만,10억미만,0.35,92,4.8,여
2009,G46***,11,의약품 도매업,중기업,기타,대전광역시 대덕구,120억미만,60억미만,60억미만,10.1,5.66,0.39,120억미만,70억미만,60억미만,15.7,7.73,0.37,130억미만,80억미만,60억미만,8.14,11.5,0.44,120억미만,70억미만,60억미만,9.21,,0.51,110억미만,60억미만,60억미만,7.42,,0.44,부
2009,C24***,11,그 외 기타 1차 철강 제조업,중기업,외감법인,경기 평택시,590억미만,450억미만,150억미만,4.72,-3.8,0.43,750억미만,530억미만,230억미만,4.81,2.79,0.44,590억미만,380억미만,210억미만,8.15,5.63,0.31,590억미만,410억미만,180억미만,6.63,,0.38,520억미만,370억미만,160억미만,4.3,,0.5,부
2001,C29***,11,그 외 기타 특수목적용 기계 제조업,중기업,기타,경기 용인시,120억미만,70억미만,50억미만,3.13,29.1,0.56,120억미만,70억미만,50억미만,3.89,24.2,0.45,120억미만,70억미만,50억미만,4.2,20.2,0.4,120억미만,80억미만,50억미만,3.6,,0.48,120억미만,70억미만,50억미만,3.05,,0.58,부
2009,G46***,11,기타 화학물질 및 화학제품 도매업,소기업,기타,경기도 용인시,50억미만,30억미만,20억미만,4.58,16.5,0.61,50억미만,40억미만,20억미만,4.18,20.1,0.63,40억미만,30억미만,20억미만,4.86,14.5,0.56,40억미만,30억미만,20억미만,3.7,,0.69,30억미만,30억미만,10억미만,4.73,,0.55,부
2006,G46***,11,액체연료 및 관련제품 도매업,중기업,외감법인,부산광역시 남구,160억미만,110억미만,60억미만,6.44,5.48,0.35,120억미만,80억미만,50억미만,10,4.96,0.23,140억미만,100억미만,40억미만,9.6,4.33,0.26,120억미만,80억미만,50억미만,7.21,,0.3,120억미만,70억미만,50억미만,5.9,7.02,0.4,부
2009,C28***,11,전동기 및 발전기 제조업,소기업,기타,전라남도 나주시,50억미만,30억미만,30억미만,0.46,32.1,3.96,50억미만,30억미만,30억미만,0.78,28,2.26,50억미만,30억미만,20억미만,0.83,27.8,2.03,50억미만,30억미만,20억미만,0.92,,2.04,50억미만,30억미만,20억미만,0.37,,4.64,부
2006,G45***,11,기타 자동차 신품 부품 및 내장품 판매업,소기업,기타,전북 전주시,30억미만,30억미만,10억미만,6.61,16.4,0.52,30억미만,20억미만,10억미만,6.97,16.6,0.58,30억미만,20억미만,10억미만,6.89,17.2,0.53,30억미만,20억미만,10억미만,7.66,,0.51,30억미만,20억미만,10억미만,6.75,,0.53,부
2009,Q86***,11,요양 병원,중기업,기타,부산 연제구,150억미만,80억미만,80억미만,0.72,69.8,3.06,150억미만,80억미만,80억미만,0.73,70.5,2.98,140억미만,80억미만,60억미만,0.63,63.8,3.16,110억미만,70억미만,40억미만,0.57,,2.99,110억미만,70억미만,50억미만,0.58,64.8,3,부
2002,C28***,11,배전반 및 전기 자동제어반 제조업,중기업,외감법인,경기도 군포시,440억미만,280억미만,160억미만,3.26,18.1,1.08,400억미만,260억미만,150억미만,2.5,22.2,1.38,390억미만,260억미만,130억미만,2.47,22,1.48,310억미만,220억미만,90억미만,1.77,,1.62,240억미만,170억미만,70억미만,3.3,,1.03,여
2001,H49***,11,전세버스 운송업,중기업,기타,대구 달성군,50억미만,40억미만,10억미만,3.13,71.5,0.9,40억미만,30억미만,10억미만,3.26,46,0.8,50억미만,40억미만,10억미만,2.66,45.7,1,50억미만,40억미만,10억미만,1.95,,1.26,60억미만,50억미만,10억미만,1.36,56.8,1.74,여
2009,G46***,11,기타 산업용 기계 및 장비 도매업,소기업,기타,부산광역시 동구,40억미만,30억미만,10억미만,2.23,14.2,0.91,30억미만,30억미만,10억미만,2.78,12.9,0.78,30억미만,20억미만,10억미만,4.84,12.9,0.67,20억미만,20억미만,10억미만,7.99,,0.63,20억미만,20억미만,10억미만,8.06,,0.52,부
2006,N74***,11,건축물 일반 청소업,중기업,기타,경기도 안산시,30억미만,20억미만,20억미만,9.53,81.7,0.49,30억미만,20억미만,20억미만,8.93,81.3,0.5,30억미만,20억미만,20억미만,3.65,80.8,0.7,20억미만,10억미만,20억미만,68.3,88.9,0.42,20억미만,10억미만,20억미만,41.9,92.3,0.42,여
2008,G46***,11,1차 금속제품 도매업,소기업,기타,광주광역시 북구,30억미만,10억미만,30억미만,16,12.1,0.48,30억미만,10억미만,20억미만,9.16,13.2,0.51,30억미만,20억미만,20억미만,9.81,11.9,0.45,30억미만,20억미만,20억미만,4.43,12.7,0.71,30억미만,20억미만,20억미만,5.02,11.1,0.79,부
2009,C26***,11,기타 무선 통신장비 제조업,소기업,기타,경기도 하남시,20억미만,10억미만,10억미만,4.14,15.2,0.74,10억미만,10억미만,10억미만,3.63,21,0.83,10억미만,10억미만,10억미만,4.12,20.8,0.67,10억미만,10억미만,10억미만,2.67,,1.04,10억미만,10억미만,10억미만,5.76,8.84,0.66,부
2006,F42***,11,배관 및 냉ㆍ난방 공사업,소기업,기타,경상남도 창원시,20억미만,10억미만,20억미만,18,47.3,1.16,20억미만,10억미만,20억미만,22.6,28.5,0.92,20억미만,10억미만,20억미만,10.2,41.2,1.19,20억미만,10억미만,10억미만,25.3,,1.25,20억미만,10억미만,10억미만,49.2,46.7,1.31,부
2009,C26***,11,그 외 기타 전자부품 제조업,중기업,외감법인,전남 장성군,550억미만,370억미만,190억미만,3.05,13.5,0.59,560억미만,390억미만,180억미만,2.73,4.88,0.59,540억미만,370억미만,170억미만,3.51,11.4,0.46,490억미만,320억미만,170억미만,3.85,,0.44,420억미만,270억미만,150억미만,4.36,,0.39,부
2012,C24***,11,"알루미늄 제련, 정련 및 합금 제조업",소기업,외감법인,경남 함안군,320억미만,210억미만,110억미만,4.11,3.06,0.39,300억미만,200억미만,110억미만,3.78,5.85,0.45,240억미만,150억미만,90억미만,4.15,7.52,0.4,180억미만,120억미만,70억미만,7.54,,0.27,170억미만,120억미만,60억미만,4.58,,0.36,여
2012,G47***,11,통신기기 소매업,소기업,W,경기 김포시,20억미만,10억미만,20억미만,,,0.91,20억미만,10억미만,20억미만,48.8,,0.71,20억미만,10억미만,20억미만,26.7,,0.61,20억미만,10억미만,20억미만,13.3,,0.43,20억미만,10억미만,20억미만,54.5,10.2,0.23,부
2011,G46***,11,사료 도매업,소기업,기타,서울 마포구,40억미만,20억미만,20억미만,18.7,2.42,0.2,40억미만,30억미만,20억미만,9.74,3.13,0.21,40억미만,30억미만,20억미만,10.8,2.78,0.19,50억미만,30억미만,20억미만,6.38,,0.25,40억미만,30억미만,20억미만,8.84,,0.19,부
2013,G46***,11,"안경, 사진장비 및 광학용품 도매업",중기업,기타,서울특별시 중구,30억미만,20억미만,10억미만,10.1,7.37,0.3,30억미만,20억미만,10억미만,8.82,7.95,0.31,20억미만,20억미만,10억미만,13.6,7.26,0.31,30억미만,20억미만,10억미만,12.6,,0.35,20억미만,20억미만,10억미만,9.51,9.27,0.39,여
2012,G46***,11,"신선, 냉동 및 기타 수산물 도매업",소기업,기타,제주 서귀포시,30억미만,30억미만,10억미만,4.9,10,0.7,30억미만,30억미만,10억미만,5.41,2.48,0.65,30억미만,20억미만,10억미만,3.57,11.1,0.79,30억미만,20억미만,10억미만,9.79,,0.62,20억미만,20억미만,10억미만,10.7,,0.51,부
2006,C10***,11,건강보조용 액화식품 제조업,소기업,기타,부산광역시 해운대구,50억미만,20억미만,40억미만,0.58,20.9,6.83,40억미만,20억미만,30억미만,0.76,54.8,4.1,40억미만,20억미만,30억미만,0.83,19.2,4.09,40억미만,10억미만,30억미만,1.69,,3.68,40억미만,10억미만,30억미만,2.57,40.1,2.55,부
2010,C26***,11,연성 및 기타 인쇄회로기판 제조업,소기업,기타,경기 안산시,40억미만,20억미만,20억미만,1.98,59.6,1.93,40억미만,20억미만,20억미만,2.09,52.8,1.66,40억미만,20억미만,20억미만,1.55,64.7,2.07,40억미만,20억미만,20억미만,2.07,68.4,1.27,30억미만,20억미만,20억미만,2.78,,1.16,부
2011,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,경기도 시흥시,100억미만,80억미만,20억미만,0.73,26.9,1.93,90억미만,80억미만,20억미만,0.98,22.3,1.46,90억미만,80억미만,20억미만,0.8,23.2,1.83,90억미만,70억미만,20억미만,0.71,,1.89,80억미만,60억미만,20억미만,0.61,44.8,2.32,부
2007,F42***,11,기타 건물 관련설비 설치 공사업,소기업,기타,부산광역시 금정구,40억미만,20억미만,30억미만,24.9,44.1,0.18,40억미만,10억미만,30억미만,28.8,48,0.28,40억미만,10억미만,30억미만,18.1,47.3,1,30억미만,10억미만,30억미만,16,28.9,0.9,50억미만,20억미만,30억미만,46.5,35.8,0.45,여
2011,C25***,11,기타 구조용 금속제품 제조업,소기업,기타,경기도 화성시,130억미만,70억미만,60억미만,1.42,18.2,1.35,130억미만,70억미만,60억미만,1.64,15.2,1.21,120억미만,70억미만,60억미만,2.25,13,1.04,110억미만,60억미만,60억미만,2.57,21.6,1,120억미만,80억미만,50억미만,1.65,,1.26,부
2010,C30***,11,그 외 자동차용 신품 부품 제조업,중기업,외감법인,울산 울주군,100억미만,70억미만,30억미만,2.63,22.2,0.66,110억미만,80억미만,30억미만,2.64,23.2,0.73,90억미만,60억미만,30억미만,2.86,25.9,0.66,80억미만,60억미만,30억미만,3.15,,0.62,80억미만,50억미만,30억미만,3.06,25.4,0.64,여
2011,F42***,11,일반전기 공사업,중기업,기타,광주광역시 서구,60억미만,20억미만,50억미만,26.1,46.4,0.28,50억미만,20억미만,40억미만,30.2,47.3,0.26,50억미만,10억미만,40억미만,20.1,41.2,0.28,40억미만,10억미만,30억미만,28.2,,0.24,40억미만,20억미만,30억미만,16.5,44.4,0.27,여
2012,G46***,11,1차 금속제품 도매업,중기업,기타,경상남도 창원시,10억미만,10억미만,10억미만,38.7,4.45,0.08,10억미만,10억미만,10억미만,23.6,4.51,0.12,20억미만,20억미만,10억미만,46.1,3.72,0.06,30억미만,30억미만,10억미만,10.5,,0.19,20억미만,20억미만,10억미만,3.76,5.77,0.29,부
2013,C13***,11,표면처리 및 적층 직물 제조업,소기업,기타,경상북도 칠곡군,60억미만,40억미만,30억미만,1.07,26.4,1.62,70억미만,40억미만,30억미만,1,39.4,1.66,60억미만,40억미만,20억미만,2.25,24.2,0.86,50억미만,40억미만,20억미만,1.67,26.2,1.02,50억미만,40억미만,10억미만,0.87,22.8,1.7,부
2001,H52***,11,"화물운송 중개, 대리 및 관련 서비스업",중기업,외감법인,서울특별시 종로구,740억미만,520억미만,230억미만,2.62,5.03,0.6,530억미만,310억미만,220억미만,3.02,5.83,0.62,550억미만,340억미만,220억미만,3.42,12.6,0.51,330억미만,200억미만,140억미만,8.92,,0.27,240억미만,160억미만,80억미만,4.94,,0.37,부
2008,G46***,11,그 외 기타 기계 및 장비 도매업,소기업,기타,부산 강서구,90억미만,80억미만,20억미만,0.7,21.4,1.89,90억미만,80억미만,20억미만,1.25,17.9,1.44,70억미만,60억미만,20억미만,0.79,-6,1.69,80억미만,50억미만,30억미만,0.76,,2.05,80억미만,60억미만,30억미만,1.18,,1.51,부
2013,C20***,11,화장품 제조업,소기업,기타,경기 안양시,100억미만,60억미만,40억미만,0.69,41.3,2.93,100억미만,60억미만,40억미만,1.11,32.9,1.89,80억미만,60억미만,30억미만,1.18,15.3,1.35,80억미만,50억미만,40억미만,1.24,,1.47,80억미만,50억미만,30억미만,1.42,,1.3,부
2009,G46***,11,유아용 의류 도매업,중기업,기타,경기 고양시,90억미만,70억미만,30억미만,1.48,18.3,1.4,90억미만,70억미만,30억미만,1.7,19,1.29,90억미만,70억미만,30억미만,1.94,17.7,1.15,60억미만,40억미만,30억미만,6.99,,0.84,50억미만,30억미만,20억미만,7.7,21.3,0.88,부
2011,C10***,11,기타 수산동물 가공 및 저장 처리업,소기업,기타,충남 태안군,40억미만,20억미만,30억미만,3.08,27.9,0.98,40억미만,20억미만,20억미만,3.16,26.9,0.89,40억미만,20억미만,20억미만,3.15,26.4,0.78,40억미만,30억미만,20억미만,3.77,,0.64,40억미만,30억미만,20억미만,3.14,24.6,0.7,부
2013,G46***,11,재생용 재료 수집 및 판매업,소기업,기타,경상남도 함안군,20억미만,10억미만,20억미만,8.39,6.8,0.32,20억미만,10억미만,10억미만,10.9,5.98,0.28,30억미만,20억미만,10억미만,14.2,4.06,0.27,20억미만,10억미만,10억미만,14.8,,0.2,20억미만,10억미만,10억미만,7.14,,0.34,부
2012,C13***,11,침구 및 관련제품 제조업,소기업,기타,경기도 군포시,40억미만,20억미만,30억미만,5.83,23.6,0.68,40억미만,20억미만,30억미만,5.79,21.8,0.65,40억미만,20억미만,20억미만,5.82,21.5,0.64,40억미만,20억미만,20억미만,6.57,,0.54,40억미만,20억미만,20억미만,6.63,,0.54,부
2009,C23***,11,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,소기업,기타,경기 안성시,70억미만,40억미만,30억미만,0.62,49.7,2.93,70억미만,50억미만,30억미만,1.04,36.6,1.86,80억미만,60억미만,30억미만,0.71,38.3,2.92,80억미만,50억미만,30억미만,0.91,,2.14,80억미만,50억미만,30억미만,0.79,37.7,2.53,부
2008,H49***,11,일반 화물자동차 운송업,소기업,기타,경남 고성군,10억미만,10억미만,00억미만,0.55,20.6,1.94,10억미만,10억미만,10억미만,2.29,21.3,0.53,10억미만,10억미만,00억미만,0.98,12.7,0.94,10억미만,10억미만,00억미만,1.4,,0.99,10억미만,10억미만,10억미만,0.51,,2.82,부
1992,H49***,11,전세버스 운송업,소기업,기타,서울 송파구,40억미만,30억미만,10억미만,2.19,46.3,0.74,50억미만,40억미만,10억미만,1.2,60.3,1.12,50억미만,40억미만,10억미만,1.11,53.8,1.18,50억미만,40억미만,10억미만,0.91,,1.52,50억미만,50억미만,10억미만,0.67,58.9,2.05,여
2013,G46***,11,기타 신선식품 및 단순 가공식품 도매업,중기업,기타,서울 서초구,330억미만,340억미만,00억미만,6.44,2.42,0.36,260억미만,230억미만,40억미만,5.44,5.77,0.31,260억미만,210억미만,60억미만,4.26,8.66,0.36,220억미만,160억미만,60억미만,3.91,,0.42,190억미만,130억미만,70억미만,4.63,,0.44,여
2012,G46***,11,"신선, 냉동 및 기타 수산물 도매업",중기업,기타,인천광역시 서구,110억미만,70억미만,40억미만,2.45,9.75,0.7,100억미만,70억미만,30억미만,2.37,12,0.7,80억미만,60억미만,30억미만,3.68,10.7,0.52,50억미만,40억미만,20억미만,4.14,,0.39,50억미만,40억미만,20억미만,4.56,,0.34,부
2012,C20***,11,복합비료 및 기타 화학비료 제조업,소기업,기타,충청북도 제천시,40억미만,20억미만,20억미만,0.78,49,2.29,40억미만,20억미만,20억미만,0.62,62.6,2.9,30억미만,20억미만,20억미만,1.01,42.1,1.99,30억미만,20억미만,20억미만,1.25,,1.62,30억미만,20억미만,20억미만,0.93,,1.91,부
2012,C28***,11,배전반 및 전기 자동제어반 제조업,소기업,기타,서울특별시 금천구,50억미만,30억미만,30억미만,3.12,31.2,0.64,70억미만,50억미만,30억미만,1.86,30.2,0.84,70억미만,50억미만,20억미만,2.15,24.6,0.79,60억미만,40억미만,20억미만,1.56,,1.01,60억미만,40억미만,20억미만,1.7,,0.91,부
2012,E38***,11,"지정 외 폐기물 수집, 운반업",소기업,기타,경상남도 김해시,110억미만,40억미만,70억미만,10,15.6,0.54,120억미만,50억미만,80억미만,8.35,18.3,0.59,120억미만,60억미만,70억미만,4.98,14.9,0.66,120억미만,60억미만,60억미만,3.99,,0.7,100억미만,60억미만,50억미만,4.42,,0.57,부
